measure_id,measure_name,measure_start_quarter,start_date,measure_end_quarter,end_date
ASC_1,Number of patients who experience a burn prior to discharge from the ASC,1Q2024,01/01/2024,4Q2024,12/31/2024
ASC_11,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery,1Q2024,01/01/2024,4Q2024,12/31/2024
ASC_12,Facility 7-Day Risk Standardized Hospital Visit Rate after Outpatient Colonoscopy,1Q2022,01/01/2022,4Q2024,12/31/2024
ASC_13,Percentage of patients who received anesthesia who had a body temperature of 96.8 Fahrenheit within 15 minutes of arriving in the post-anesthesia care unit,1Q2024,01/01/2024,4Q2024,12/31/2024
ASC_14,Percentage of cataract surgeries that had an unplanned additional eye surgery (anterior vitrectomy),1Q2024,01/01/2024,4Q2024,12/31/2024
ASC_17,Hospital Visits after Orthopedic Ambulatory Surgical Center Procedures,1Q2023,01/01/2023,4Q2024,12/31/2024
ASC_18,Hospital Visits after Urology Ambulatory Surgical Center Procedures,1Q2023,01/01/2023,4Q2024,12/31/2024
ASC_19,Hospital Visits after General Surgery Procedures Performed,1Q2023,01/01/2023,4Q2024,12/31/2024
ASC_2,Number of patients who experience a fall within the ASC,1Q2024,01/01/2024,4Q2024,12/31/2024
ASC_3,"Number of patients who experience a wrong site, side, patient, procedure, or implant",1Q2024,01/01/2024,4Q2024,12/31/2024
ASC_4,Percentage of ASC patients who are transferred or admitted to a hospital upon discharge from the ASC,1Q2024,01/01/2024,4Q2024,12/31/2024
ASC_9,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy,1Q2024,01/01/2024,4Q2024,12/31/2024
COMP_HIP_KNEE,Complication Rate Following Elective Primary Total Hip Arthroplasty (THA) and/or Total Knee Arthroplasty (TKA),2Q2021,04/01/2021,1Q2024,03/31/2024
COMP_HIP_KNEE_HVBP_Baseline,Complication Rate Following Elective Primary Total Hip Arthroplasty (THA) and/or Total Knee Arthroplasty (TKA),2Q2016,04/01/2016,1Q2019,03/31/2019
COMP_HIP_KNEE_HVBP_Performance,Complication Rate Following Elective Primary Total Hip Arthroplasty (THA) and/or Total Knee Arthroplasty (TKA),2Q2021,04/01/2021,1Q2024,03/31/2024
EDAC_30_AMI,Excess Days in Acute Care after Hospitalization for Acute Myocardial Infarction,3Q2021,07/01/2021,2Q2024,06/30/2024
EDAC_30_HF,Excess Days in Acute Care after Hospitalization for Heart Failure,3Q2021,07/01/2021,2Q2024,06/30/2024
EDAC_30_PN,Excess Days in Acute Care after Hospitalization for Pneumonia,3Q2021,07/01/2021,2Q2024,06/30/2024
EDV,Emergency Department Volume,1Q2024,01/01/2024,4Q2024,12/31/2024
FAPH_30,Percent of patients receiving follow-up care within 30 days after psychiatric hospitalization,3Q2023,07/01/2023,2Q2024,06/30/2024
FAPH_7,Percent of patients receiving follow-up care within 7 days after psychiatric hospitalization,3Q2023,07/01/2023,2Q2024,06/30/2024
GMCS,Global Malnutrition Composite Score,1Q2024,01/01/2024,4Q2024,12/31/2024
HACRP_CAUTI,Catheter-associated Urinary Tract Infection (CAUTI) Outcome Measure,1Q2023,01/01/2023,4Q2024,12/31/2024
HACRP_CDI,Clostridium difficile Infection (CDI) Outcome Measure,1Q2023,01/01/2023,4Q2024,12/31/2024
HACRP_CLABSI,Central line-associated Bloodstream Infection (CLABSI) Outcome Measure,1Q2023,01/01/2023,4Q2024,12/31/2024
HACRP_MRSA,Methicillin-resistant Staphylococcus aureus (MRSA) Bacteremia Outcome Measure,1Q2023,01/01/2023,4Q2024,12/31/2024
HACRP_PSI90,Patient Safety and Adverse Events Composite (CMS PSI 90),3Q2022,07/01/2022,2Q2024,06/30/2024
HACRP_SSI,Surgical Site Infection (SSI) for Abdominal Hysterectomy and Colon Procedures Outcome Measure,1Q2023,01/01/2023,4Q2024,12/31/2024
HACRP_Total,Total_HAC_Score,3Q2022,07/01/2022,4Q2024,12/31/2024
HAI_1,Central Line Associated Bloodstream Infection (ICU + select Wards),2Q2024,04/01/2024,1Q2025,03/31/2025
HAI_1_HVBP_Baseline,Central Line Associated Bloodstream Infection,1Q2022,01/01/2022,4Q2022,12/31/2022
HAI_1_HVBP_Performance,Central Line Associated Bloodstream Infection,1Q2024,01/01/2024,4Q2024,12/31/2024
HAI_2,Catheter Associated Urinary Tract Infections (ICU + select Wards),2Q2024,04/01/2024,1Q2025,03/31/2025
HAI_2_HVBP_Baseline,Catheter Associated Urinary Tract Infections,1Q2022,01/01/2022,4Q2022,12/31/2022
HAI_2_HVBP_Performance,Catheter Associated Urinary Tract Infections,1Q2024,01/01/2024,4Q2024,12/31/2024
HAI_3,SSI - Colon Surgery,2Q2024,04/01/2024,1Q2025,03/31/2025
HAI_3_HVBP_Baseline,SSI - Colon Surgery,1Q2022,01/01/2022,4Q2022,12/31/2022
HAI_3_HVBP_Performance,SSI - Colon Surgery,1Q2024,01/01/2024,4Q2024,12/31/2024
HAI_4,SSI - Abdominal Hysterectomy,2Q2024,04/01/2024,1Q2025,03/31/2025
HAI_4_HVBP_Baseline,SSI - Abdominal Hysterectomy,1Q2022,01/01/2022,4Q2022,12/31/2022
HAI_4_HVBP_Performance,SSI - Abdominal Hysterectomy,1Q2024,01/01/2024,4Q2024,12/31/2024
HAI_5,MRSA Bacteremia,2Q2024,04/01/2024,1Q2025,03/31/2025
HAI_5_HVBP_Baseline,MRSA,1Q2022,01/01/2022,4Q2022,12/31/2022
HAI_5_HVBP_Performance,MRSA,1Q2024,01/01/2024,4Q2024,12/31/2024
HAI_6,Clostridium Difficile (C.Diff),2Q2024,04/01/2024,1Q2025,03/31/2025
HAI_6_HVBP_Baseline,CDI,1Q2022,01/01/2022,4Q2022,12/31/2022
HAI_6_HVBP_Performance,CDI,1Q2024,01/01/2024,4Q2024,12/31/2024
HBIPS_2,Hours of physical-restraint use,1Q2024,01/01/2024,4Q2024,12/31/2024
HBIPS_3,Hours of seclusion,1Q2024,01/01/2024,4Q2024,12/31/2024
HCAHPS,Patient satisfaction survey results,2Q2024,04/01/2024,1Q2025,03/31/2025
HCAHPS_HVBP_Baseline,HCAHPS Measures,1Q2022,01/01/2022,4Q2022,12/31/2022
HCAHPS_HVBP_Performance,HCAHPS Measures,1Q2024,01/01/2024,4Q2024,12/31/2024
HH_HYPER,Hospital Harm - Severe Hyperglycemia,1Q2024,01/01/2024,4Q2024,12/31/2024
HH_HYPO,Hospital Harm - Severe Hypoglycemia,1Q2024,01/01/2024,4Q2024,12/31/2024
HH_ORAE,Hospital Harm - Opioid-Related Adverse Events,1Q2024,01/01/2024,4Q2024,12/31/2024
Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,3Q2023,07/01/2023,2Q2024,06/30/2024
Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Rate,3Q2023,07/01/2023,2Q2024,06/30/2024
IMM_3,Healthcare Personnel Influenza Vaccination,4Q2024,10/01/2024,1Q2025,03/31/2025
IPFQR_IMM_2,Influenza Immunization,4Q2024,10/01/2024,1Q2025,03/31/2025
MedCont,Medication Continuation Following Inpatient Psychiatric Discharge,3Q2022,07/01/2022,2Q2024,06/30/2024
MORT_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,3Q2021,07/01/2021,2Q2024,06/30/2024
MORT_30_AMI_HVBP_Baseline,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,3Q2016,07/01/2016,2Q2019,06/30/2019
MORT_30_AMI_HVBP_Performance,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,3Q2021,07/01/2021,2Q2024,06/30/2024
MORT_30_CABG,30-Day All-Cause Mortality Following Coronary Artery Bypass Graft (CABG) Surgery,3Q2021,07/01/2021,2Q2024,06/30/2024
MORT_30_CABG_HVBP_Baseline,30-Day All-Cause Mortality Following Coronary Artery Bypass Graft (CABG) Surgery,3Q2016,07/01/2016,2Q2019,06/30/2019
MORT_30_CABG_HVBP_Performance,30-Day All-Cause Mortality Following Coronary Artery Bypass Graft (CABG) Surgery,3Q2021,07/01/2021,2Q2024,06/30/2024
MORT_30_COPD,Chronic Obstructive Pulmonary Disease (COPD) 30-Day Mortality Rate,3Q2021,07/01/2021,2Q2024,06/30/2024
MORT_30_COPD_HVBP_Baseline,Chronic Obstructive Pulmonary Disease (COPD) 30-Day Mortality Rate,3Q2016,07/01/2016,2Q2019,06/30/2019
MORT_30_COPD_HVBP_Performance,Chronic Obstructive Pulmonary Disease (COPD) 30-Day Mortality Rate,3Q2021,07/01/2021,2Q2024,06/30/2024
MORT_30_HF,Heart Failure (HF) 30-Day Mortality Rate,3Q2021,07/01/2021,2Q2024,06/30/2024
MORT_30_HF_HVBP_Baseline,Heart Failure (HF) 30-Day Mortality Rate,3Q2016,07/01/2016,2Q2019,06/30/2019
MORT_30_HF_HVBP_Performance,Heart Failure (HF) 30-Day Mortality Rate,3Q2021,07/01/2021,2Q2024,06/30/2024
MORT_30_PN,Pneumonia 30-Day Mortality Rate,3Q2021,07/01/2021,2Q2024,06/30/2024
MORT_30_PN_HVBP_Baseline,Pneumonia 30-Day Mortality Rate,3Q2016,07/01/2016,2Q2019,06/30/2019
MORT_30_PN_HVBP_Performance,Pneumonia 30-Day Mortality Rate,3Q2021,07/01/2021,2Q2024,06/30/2024
MORT_30_STK,Acute Ischemic Stroke (STK) 30-Day Mortality Rate,3Q2021,07/01/2021,2Q2024,06/30/2024
MSPB_1,Spending per Hospital Patient with Medicare (Medicare Spending per Beneficiary),1Q2024,01/01/2024,4Q2024,12/31/2024
MSPB_1_HVBP_Baseline,Spending per Hospital Patient with Medicare (Medicare Spending per Beneficiary),1Q2022,01/01/2022,4Q2022,12/31/2022
MSPB_1_HVBP_Performance,Spending per Hospital Patient with Medicare (Medicare Spending per Beneficiary),1Q2024,01/01/2024,4Q2024,12/31/2024
OAS CAHPS,Survey of Patient Experience - Outpatient,2Q2024,04/01/2024,1Q2025,03/31/2025
OP_10,Abdomen CT - Use of Contrast Material,3Q2023,07/01/2023,2Q2024,06/30/2024
