state,measure_id,measure_name,number_of_hospitals_worse,number_of_hospitals_same,number_of_hospitals_better,number_of_hospitals_too_few,footnote,start_date,end_date,number_of_hospitals_fewer,number_of_hospitals_average,number_of_hospitals_more,number_of_hospitals_too_small
TX,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,55,0,148,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,6,210,6,73,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,1,152,0,98,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,READM_30_CABG,Rate of readmission for CABG,0,80,1,27,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,175,0,163,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,218,3,125,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,106,2,147,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,263,0,88,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,4,6,1,19
UT,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,21,6,0,18
UT,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,28,10,0,7
UT,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),0,41,4,2,,07/01/2023,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,36,0,4,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,12,1,21,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,12,0,21,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,33,0,9,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,11,2,17,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,READM_30_CABG,Rate of readmission for CABG,0,7,0,2,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,10,0,33,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,24,3,18,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,19,0,19,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,37,1,7,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,7,23,12,35
VA,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,21,29,25,5
VA,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,17,32,29,5
VA,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),1,71,9,1,,07/01/2023,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,70,2,2,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,31,0,34,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,31,1,34,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,2,62,1,6,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,47,0,30,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,READM_30_CABG,Rate of readmission for CABG,0,18,0,4,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,73,0,8,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,72,3,5,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
