facility_name,facility_id,npi,city_town,state,zip_code,year,asc_1_rate,asc_1_footnote,asc_2_rate,asc_2_footnote,asc_3_rate,asc_3_footnote,asc_4_rate,asc_4_footnote,asc_9_rate,asc_9_footnote,asc_11_rate,asc_11_footnote,asc_12_total_cases,asc_12_performance_category,asc_12_rshv_rate,asc_12_interval_lower_limit,asc_12_interval_upper_limit,asc_12_footnote,asc_13_rate,asc_13_footnote,asc_14_rate,asc_14_footnote,asc_17_total_cases,asc_17_performance_category,asc_17_rshv_rate,asc_17_interval_lower_limit,asc_17_interval_upper_limit,asc_17_footnote,asc_18_total_cases,asc_18_performance_category,asc_18_rshv_rate,asc_18_interval_lower_limit,asc_18_interval_upper_limit,asc_18_footnote,asc_19_total_cases,asc_19_performance_category,asc_19_rshv_rate,asc_19_interval_lower_limit,asc_19_interval_upper_limit,asc_19_footnote
BEACON SURGERY CENTER,26C0001171,1255991238,LEES SUMMIT,MO,64064,2024,0.000,,0.000,,0.000,,0.194,,,5,,5,,,,,,5,98.35,,0.000,,139,No Different Than the National Rate,2.4,1.6,3.8,,,,,,,5,,Number of Cases Too Small,,,,1
SURGCENTER NORTHERN PHOENIX LLC,03C0001460,1265009005,PHOENIX,AZ,85085,2024,0.000,,0.000,,0.000,,0.149,,,5,,5,,,,,,5,100.00,,,5,,Number of Cases Too Small,,,,1,,,,,,5,,Number of Cases Too Small,,,,1
NORTHEAST GEORGIA SURGERY CENTER LLC,11C0001543,1265037600,GAINESVILLE,GA,30501,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,Number of Cases Too Small,,,,1,,,,,,5,,,,,,5
NORTHWEST ORTHOPAEDIC SPECIALISTS PS,50C0001233,1265401202,SPOKANE,WA,99204,2024,0.009,,0.018,,0.009,,0.055,,,5,,5,,,,,,5,3.90,,,5,1477,No Different Than the National Rate,2.1,1.6,2.8,,,,,,,5,,Number of Cases Too Small,,,,1
NORTHWEST ORTHOPAEDIC SPECIALISTS PS,50C0001348,1265401202,SPOKANE VALLEY,WA,99216,2024,0.009,,0.018,,0.009,,0.055,,,5,,5,,,,,,5,3.90,,,5,1477,No Different Than the National Rate,2.1,1.6,2.8,,,,,,,5,,Number of Cases Too Small,,,,1
NORTH RIVER SURGERY CENTER,04C0001035,1265404669,SHERWOOD,AR,72120,2024,,5,,5,0.030,,0.059,,91.38,,,5,389,No Different Than the National Rate,10.5,7.8,14.6,,,5,0.048,,,Number of Cases Too Small,,,,1,,,,,,5,,,,,,5
THE EYE SURGERY CENTER,07C0001004,1265405203,BLOOMFIELD,CT,06002,2024,0.000,,0.000,,0.000,,0.000,,,5,,5,,,,,,5,,5,0.245,,,,,,,5,,,,,,5,,,,,,5
AUBURN SURGERY CENTER INC,26C0001048,1265431670,CAPE GIRARDEAU,MO,63703,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,97,No Different Than the National Rate,2.4,1.5,3.9,,,,,,,5,117,No Different than expected,1,0.6,1.7,
THE SALLY BALIN AMBULATORY SURGICAL CENTER,39C0001073,1265434740,MEDIA,PA,19063,2024,,5,,5,,5,,5,,5,,5,,,,,,5,,5,,5,,,,,,5,,,,,,5,207,No Different than expected,0.9,0.5,1.6,
POCONO AMBULATORY SURGERY CENTER LTD,39C0001020,1265435176,STROUDSBURG,PA,18360,2024,,5,,5,,5,0.103,,,5,,5,401,No Different Than the National Rate,9.5,6.9,13.4,,2.99,,0.325,,130,No Different Than the National Rate,2.5,1.5,3.8,,,Number of Cases Too Small,,,,1,,Number of Cases Too Small,,,,1
ANMED HEALTH MEDICUS SURGERY CENTER LLC,42C0001004,1265435614,ANDERSON,SC,29621,2024,0.000,,0.000,,0.000,,0.000,,92.86,,,5,32,No Different Than the National Rate,9.9,7.1,13.8,,98.94,,0.096,,,Number of Cases Too Small,,,,1,,Number of Cases Too Small,,,,1,,Number of Cases Too Small,,,,1
EYE SURGERY CENTER OF CHATTANOOGA LLC,44C0001167,1265438303,CHATTANOOGA,TN,37421,2024,0.000,,0.000,,0.013,,0.000,,,5,,5,,,,,,5,100.00,,0.085,,,,,,,5,,,,,,5,,Number of Cases Too Small,,,,1
CONWAY ENDOSCOPY CENTER INC,04C0001049,1265439632,CONWAY,AR,72034,2024,0.000,,0.050,,0.000,,0.126,,89.29,,,5,1547,No Different Than the National Rate,9.3,7,12.2,,94.92,,,5,,,,,,5,,,,,,5,,,,,,5
THE ENDOSCOPY CENTER OF SOUTHEAST GEORGIA INC,11C0001056,1265439830,VIDALIA,GA,30474,2024,,5,,5,,5,,5,95.86,,,5,306,No Different Than the National Rate,10.9,7.8,15.2,,,5,,5,,,,,,5,,,,,,5,,,,,,5
